subject,slice,dice,presision,recall,hausdorff_distance
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,0,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,1,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,2,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,3,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,4,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,5,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,6,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,7,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,8,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,9,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,10,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,11,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,12,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,13,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,14,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,15,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,16,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,17,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,18,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,19,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,20,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,21,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,22,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,23,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,24,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,25,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,26,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,27,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,28,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,29,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,30,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,31,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,32,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,33,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,34,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,35,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,36,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,37,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,38,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,39,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,40,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,41,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,42,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,43,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,44,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,45,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,46,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,47,1.0,1.0,1.0,0.0
sub-r024s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,48,1.0,1.0,1.0,0.0
